,column,dtype,missing_count,missing_pct,mean,std,min,25%,median,75%,max,range_days,true_count,true_pct,false_count,false_pct
0,DataFrame Shape,info,10128,106.0,,,,,,,,,,,,
1,ir_id,int64,0,0.0,3612708.607128752,4029768.9219763763,2377,1054979.5,2213629.5,4687041.5,19267837,,,,,
2,surgery_start_datetime,datetime64[ns],0,0.0,2015-05-12 10:44:59.087677952,1793.2257643332312,2003-01-02 08:19:00,2012-09-07 11:34:15,2015-12-10 11:32:30,2019-03-04 17:35:00,2022-09-30 12:23:00,7211.0,,,,
3,age_at_procedure,Int64,0,0.0,51.83264218009479,16.202741029690344,18,39.0,52.0,65.0,95,,,,,
4,gender_female,Int64,1,0.01,,,,,,,,,4060.0,40.09,6067.0,59.91
5,BMI,float64,137,1.35,29.062587278550694,5.918708010327832,9.38,24.96,28.16,32.26,66.83,,,,,
6,BMP_POTASSIUM,float64,4528,44.71,4.178875000000001,0.42101666227841444,2.5,3.9,4.2,4.4,6.1,,,,,
7,BMP_CREATININE,float64,4517,44.6,0.9310122972732133,0.4144090675284744,0.36,0.78,0.9,1.03,20.38,,,,,
8,BMP_BUN,float64,4517,44.6,16.35073961860631,20.97276794898975,1.0,12.0,15.0,19.0,1515.0,,,,,
9,BMP_CALCIUM,float64,4517,44.6,9.505524861878452,0.43271079564825615,7.4,9.2,9.5,9.8,11.8,,,,,
10,BMP_CHLORIDE,float64,4517,44.6,102.75833184815541,3.0498618649090505,80.0,101.0,103.0,105.0,118.0,,,,,
11,BMP_SODIUM,float64,4517,44.6,139.0598823739084,2.5952747244275596,123.0,137.0,139.0,141.0,148.0,,,,,
12,BMP_CO2,float64,4518,44.61,27.207557932263818,2.605237656230201,16.0,26.0,27.0,29.0,37.0,,,,,
13,BMP_GLUCOSE,float64,4521,44.64,106.00124843945069,32.87220249118762,39.0,89.0,97.0,111.0,433.0,,,,,
14,BMP_GFR,float64,7656,75.59,81.6581715210356,25.419333491455838,2.0,62.0,82.0,97.0,232.0,,,,,
15,CBC_MONOCYTES,float64,5420,53.52,8.23430331350892,2.6874228074197553,0.0,7.0,8.0,10.0,58.0,,,,,
16,CBC_NEUTROPHILS,float64,5423,53.54,61.177321997874586,10.759102797020207,1.0,54.0,61.0,68.0,95.0,,,,,
17,CBC_BASOPHILS,float64,5435,53.66,0.5053057745578522,0.5304934018497486,0.0,0.0,0.4,1.0,6.0,,,,,
18,CBC_PLATELET_COUNT,float64,5438,53.69,253.19040511727079,64.70990265028068,44.0,209.0,248.0,289.0,590.0,,,,,
19,CBC_WBC_COUNT,float64,5434,53.65,7.538753728163612,2.4920248848479463,2.1,5.8,7.1,8.8,39.0,,,,,
20,CBC_HEMOGLOBIN,float64,5433,53.64,14.127156549520766,1.5275922347854345,5.3,13.2,14.2,15.2,18.7,,,,,
21,CBC_RBC_COUNT,float64,5438,53.69,4.67339658848614,0.513784812044012,2.1,4.34,4.7,5.0,7.8,,,,,
22,CBC_RDW,float64,5436,53.67,13.398081841432225,1.2874981180907275,10.8,12.8,13.0,14.0,29.5,,,,,
23,CBC_HEMATOCRIT,float64,5435,53.66,42.10411250799063,4.042920586511647,17.6,39.6,42.3,44.9,57.2,,,,,
24,CBC_MCH,float64,5436,53.67,30.345588235294116,2.0901428716047175,14.6,29.1,30.5,31.7,44.7,,,,,
25,CBC_MCHC,float64,5437,53.68,33.553719889149434,1.253692421712328,23.6,33.0,33.7,34.4,37.0,,,,,
26,CBC_ABSOLUTE_LYMPHOCYTES,float64,5432,53.63,2.1793313458262356,11.334247782757473,0.2,1.5,1.9,2.4,775.0,,,,,
27,CBC_ABSOLUTE_NEUTROPHILS,float64,5434,53.65,5.51971878994461,54.457554662690576,0.5,3.3,4.3,5.6,3733.0,,,,,
28,CBC_LYMPHOCYTE,float64,5450,53.81,27.458507909362975,9.373033214093558,0.4,21.0,27.3,33.0,84.0,,,,,
29,CBC_EOSINOPHILS,float64,5433,53.64,2.2761235356762515,1.988106597135627,0.0,1.0,2.0,3.0,34.0,,,,,
30,CBC_ABSOLUTE_EOSINOPHILS,float64,5439,53.7,0.21816805288974192,3.505589355991992,0.0,0.1,0.1,0.2,240.0,,,,,
31,CBC_ABSOLUTE_BASOPHILS,float64,5448,53.79,0.03468376068376068,0.45502784321305695,0.0,0.0,0.0,0.1,31.0,,,,,
32,CBC_ABSOLUTE_MONOCYTES,float64,5464,53.95,0.6729159519725558,4.697555999705998,0.0,0.5,0.6,0.7,321.0,,,,,
