,column,dtype,missing_count,missing_pct,mean,std,min,25%,median,75%,max,range_days,true_count,true_pct,false_count,false_pct
0,DataFrame Shape,info,10128,79.0,,,,,,,,,,,,
1,ir_id,int64,0,0.0,3612708.607128752,4029768.9219763763,2377,1054979.5,2213629.5,4687041.5,19267837,,,,,
2,surgery_start_datetime,datetime64[ns],0,0.0,2015-05-12 10:44:59.087677952,1793.2257643332312,2003-01-02 08:19:00,2012-09-07 11:34:15,2015-12-10 11:32:30,2019-03-04 17:35:00,2022-09-30 12:23:00,7211.0,,,,
3,age_at_procedure,Int64,0,0.0,51.83264218009479,16.202741029690344,18,39.0,52.0,65.0,95,,,,,
4,gender_female,Int64,1,0.01,,,,,,,,,4060.0,40.09,6067.0,59.91
5,BMI,float64,137,1.35,29.062587278550694,5.918708010327832,9.38,24.96,28.16,32.26,66.83,,,,,
6,elix_aids_hiv,bool,0,0.0,,,,,,,,,48.0,0.47,10080.0,99.53
7,elix_lymphoma,bool,0,0.0,,,,,,,,,77.0,0.76,10051.0,99.24
8,elix_paralysis,bool,0,0.0,,,,,,,,,2.0,0.02,10126.0,99.98
9,elix_psychoses,bool,0,0.0,,,,,,,,,20.0,0.2,10108.0,99.8
10,elix_depression,bool,0,0.0,,,,,,,,,1611.0,15.91,8517.0,84.09
11,elix_drug_abuse,bool,0,0.0,,,,,,,,,106.0,1.05,10022.0,98.95
12,elix_weight_loss,bool,0,0.0,,,,,,,,,52.0,0.51,10076.0,99.49
13,elix_coagulopathy,bool,0,0.0,,,,,,,,,225.0,2.22,9903.0,97.78
14,elix_alcohol_abuse,bool,0,0.0,,,,,,,,,202.0,1.99,9926.0,98.01
15,elix_liver_disease,bool,0,0.0,,,,,,,,,315.0,3.11,9813.0,96.89
16,elix_renal_failure,bool,0,0.0,,,,,,,,,396.0,3.91,9732.0,96.09
17,elix_hypothyroidism,bool,0,0.0,,,,,,,,,927.0,9.15,9201.0,90.85
18,elix_valvular_disease,bool,0,0.0,,,,,,,,,366.0,3.61,9762.0,96.39
19,elix_blood_loss_anemia,bool,0,0.0,,,,,,,,,30.0,0.3,10098.0,99.7
