,Procedure,Outcome,Features,Model,Rep,Fold,FPR,TPR,Thresholds
0,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0,0.0,inf
1,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0004100041000410004,0.0,0.8824127227441303
2,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0004100041000410004,0.0066518847006651885,0.8555095438729372
3,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0008200082000820008,0.0066518847006651885,0.8544327129505322
4,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0008200082000820008,0.011086474501108648,0.8523944953949191
5,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0012300123001230013,0.011086474501108648,0.851489504434468
6,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0012300123001230013,0.013303769401330377,0.8513644474882646
7,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002050020500205002,0.013303769401330377,0.8506614176370818
8,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002050020500205002,0.019955654101995565,0.8440399228678848
9,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0024600246002460025,0.019955654101995565,0.8419735689886411
10,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0024600246002460025,0.028824833702882482,0.828555168056361
11,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003280032800328003,0.028824833702882482,0.8236683842608801
12,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003280032800328003,0.031042128603104215,0.8234934268889083
13,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0036900369003690036,0.031042128603104215,0.8233573343270615
14,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0036900369003690036,0.03547671840354767,0.82141628467476
15,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004100041000410004,0.03547671840354767,0.8208662222323143
16,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004100041000410004,0.037694013303769404,0.8201794249770342
17,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004510045100451004,0.037694013303769404,0.8190708027700064
18,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004510045100451004,0.03991130820399113,0.8184342372742678
19,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004920049200492005,0.03991130820399113,0.8182547816352072
20,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004920049200492005,0.04212860310421286,0.8174101822269622
21,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005740057400574006,0.04212860310421286,0.8162965373952061
22,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005740057400574006,0.04434589800443459,0.8155270445532068
23,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006970069700697007,0.04434589800443459,0.8124096946212889
24,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006970069700697007,0.04656319290465632,0.8092457101914238
25,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008200082000820008,0.04656319290465632,0.8054831642391417
26,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.008200082000820008,0.04878048780487805,0.8041332756882393
27,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.01066010660106601,0.04878048780487805,0.8006377134717452
28,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.01066010660106601,0.050997782705099776,0.7998475149312474
29,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.011480114801148012,0.050997782705099776,0.7967100081877414
30,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.011480114801148012,0.05321507760532151,0.7940822404769439
31,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013120131201312012,0.05321507760532151,0.7925990323753755
32,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013120131201312012,0.05543237250554324,0.7925158195465072
33,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013530135301353014,0.05543237250554324,0.7908330077390758
34,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013530135301353014,0.0598669623059867,0.7891882787489511
35,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013940139401394014,0.0598669623059867,0.789048954385981
36,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.013940139401394014,0.06651884700665188,0.7860313170604376
37,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.014350143501435014,0.06651884700665188,0.784183962053216
38,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.014350143501435014,0.06873614190687362,0.7838183408799957
39,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.015990159901599015,0.06873614190687362,0.7812620093089819
40,Fusion,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.015990159901599015,0.07317073170731707,0.7797562123686261
