,column,dtype,missing_count,missing_pct,mean,std,min,25%,median,75%,max,range_days,true_count,true_pct,false_count,false_pct
0,DataFrame Shape,info,2890,108.0,,,,,,,,,,,,
1,ir_id,int64,0,0.0,4234470.52733564,4119334.834782128,2244,1548065.75,3525252.0,5167624.25,19259496,,,,,
2,surgery_start_datetime,datetime64[ns],0,0.0,2017-11-03 18:32:05.875432448,1038.8183815442692,2003-01-16 11:20:00,2015-09-10 07:31:45,2017-11-06 08:41:00,2020-01-30 09:52:45,2022-09-29 08:39:00,7195.0,,,,
3,age_at_procedure,Int64,0,0.0,60.83356401384083,13.20825214182301,18,53.0,63.0,71.0,88,,,,,
4,gender_female,Int64,0,0.0,,,,,,,,,1472.0,50.93,1418.0,49.07
5,BMI,float64,4,0.14,30.291042273042276,6.157185342648909,16.67,25.8825,29.64,33.85,69.27,,,,,
6,BMP_POTASSIUM,float64,838,29.0,4.228118908382067,0.4320009677892186,2.7,3.9,4.2,4.5,6.6,,,,,
7,BMP_CREATININE,float64,833,28.82,0.9243801652892563,0.390754928017315,0.3,0.73,0.89,1.04,9.3,,,,,
8,BMP_BUN,float64,834,28.86,16.655155642023345,6.736056350584184,2.0,12.0,16.0,20.0,82.0,,,,,
9,BMP_CALCIUM,float64,834,28.86,9.490466926070038,0.5306714984761074,7.2,9.2,9.5,9.8,11.5,,,,,
10,BMP_CHLORIDE,float64,834,28.86,102.77140077821012,3.2579723192459187,85.0,101.0,103.0,105.0,114.0,,,,,
11,BMP_SODIUM,float64,834,28.86,139.25778210116732,2.8506519923859654,127.0,138.0,139.0,141.0,149.0,,,,,
12,BMP_CO2,float64,834,28.86,26.995379377431906,2.760110906485471,12.0,25.0,27.0,29.0,37.0,,,,,
13,BMP_GLUCOSE,float64,834,28.86,108.54912451361868,32.32977158317101,52.0,91.0,100.0,114.25,457.0,,,,,
14,CBC_MONOCYTES,float64,1527,52.84,8.569845928099781,2.930721203913753,0.3,7.0,8.0,10.0,43.0,,,,,
15,CBC_NEUTROPHILS,float64,1529,52.91,60.96193975018369,10.755859841987759,8.0,54.0,61.0,67.0,94.0,,,,,
16,CBC_BASOPHILS,float64,1528,52.87,0.5819383259911894,0.5338612640403407,0.0,0.0,1.0,1.0,3.0,,,,,
17,CBC_PLATELET_COUNT,float64,1533,53.04,254.38540899042005,73.4769716453167,44.0,207.0,246.0,292.0,636.0,,,,,
18,CBC_WBC_COUNT,float64,1532,53.01,7.278939617083947,2.7850979474775963,2.4,5.6,6.8,8.3,34.0,,,,,
19,CBC_HEMOGLOBIN,float64,1532,53.01,13.609646539027983,1.5881663602624785,7.2,12.6,13.7,14.6,18.5,,,,,
20,CBC_RBC_COUNT,float64,1532,53.01,4.527886597938145,0.5403001666737213,2.39,4.2,4.5,4.9,6.3,,,,,
21,CBC_RDW,float64,1532,53.01,13.57098674521355,1.410591809866153,11.0,13.0,13.0,14.0,26.0,,,,,
22,CBC_HEMATOCRIT,float64,1532,53.01,41.219219440353456,4.372792916084812,22.3,38.7,41.4,44.0,54.7,,,,,
23,CBC_MCH,float64,1532,53.01,30.19351988217967,2.132266582166293,19.0,29.0,30.05,31.5,37.0,,,,,
