,Procedure,Outcome,Features,Model,Rep,Fold,FPR,TPR,Thresholds
0,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0,0.0,inf
1,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0,0.0004926108374384236,0.9357517315212444
2,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0,0.08226600985221674,0.8626697605799774
3,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00012348728081007656,0.08226600985221674,0.8626209233140738
4,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00012348728081007656,0.12413793103448276,0.8475126770148217
5,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0002469745616201531,0.12413793103448276,0.8474619229247485
6,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0002469745616201531,0.16206896551724137,0.8326312945511067
7,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0003704618424302297,0.16206896551724137,0.8324966273553569
8,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0003704618424302297,0.16600985221674877,0.831222829688823
9,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0004939491232403062,0.16600985221674877,0.8312152462729441
10,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0004939491232403062,0.17881773399014778,0.8262075264860217
11,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0006174364040503828,0.17881773399014778,0.82612876936012
12,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0006174364040503828,0.18275862068965518,0.8251078865272208
13,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0007409236848604594,0.18275862068965518,0.8237998407784737
14,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0007409236848604594,0.19753694581280787,0.818581344852102
15,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.000864410965670536,0.19753694581280787,0.8184053453192208
16,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.000864410965670536,0.2004926108374384,0.8179071682891716
17,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0009878982464806125,0.2004926108374384,0.8175937042599019
18,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0009878982464806125,0.22561576354679802,0.8079064515990632
19,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001111385527290689,0.22561576354679802,0.8077625144362672
20,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001111385527290689,0.23201970443349754,0.8057511687951734
21,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0012348728081007657,0.23201970443349754,0.80574534681046
22,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0012348728081007657,0.2330049261083744,0.8054218567338502
23,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001358360088910842,0.2330049261083744,0.805243895421042
24,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001358360088910842,0.23891625615763548,0.8022896237550772
25,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0014818473697209187,0.23891625615763548,0.8019002883601386
26,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0014818473697209187,0.241871921182266,0.8001806299773181
27,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0016053346505309953,0.241871921182266,0.8001605628719674
28,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0016053346505309953,0.24729064039408866,0.7975801711502548
29,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001728821931341072,0.24729064039408866,0.7975246434494783
30,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001728821931341072,0.25270935960591134,0.7952089770908559
31,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0018523092121511483,0.25270935960591134,0.7947562728254989
32,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0018523092121511483,0.2541871921182266,0.7940402026255309
33,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001975796492961225,0.2541871921182266,0.7936198968495618
34,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.001975796492961225,0.2571428571428571,0.7928392460685408
35,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002222771054581378,0.2571428571428571,0.7925408559605014
36,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002222771054581378,0.26354679802955666,0.7901956782979253
37,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0023462583353914546,0.26354679802955666,0.7901745781788978
38,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0023462583353914546,0.2650246305418719,0.7898008623487096
39,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0024697456162015314,0.2650246305418719,0.7897871327093484
40,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0024697456162015314,0.2733990147783251,0.7871169208636133
41,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002716720177821684,0.2733990147783251,0.7870666445680076
42,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002716720177821684,0.2748768472906404,0.7866817161673048
43,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002840207458631761,0.2748768472906404,0.7865619416703008
44,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.002840207458631761,0.27536945812807884,0.786447952368387
45,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0029636947394418374,0.27536945812807884,0.7864208833002814
46,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0029636947394418374,0.2822660098522167,0.7844338021889592
47,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0030871820202519142,0.2822660098522167,0.7844139294111145
48,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0030871820202519142,0.287192118226601,0.7825392014246503
49,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003334156581872067,0.287192118226601,0.7823926870577589
50,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003334156581872067,0.2876847290640394,0.7822620526822548
51,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003457643862682144,0.2876847290640394,0.7822596768178337
52,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.003457643862682144,0.2911330049261084,0.780909115850428
53,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0035811311434922203,0.2911330049261084,0.7808967082890526
54,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0035811311434922203,0.29261083743842364,0.7805153108316024
55,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0038281057051123735,0.29261083743842364,0.7799273958364865
56,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0038281057051123735,0.29507389162561576,0.7789039075640666
57,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00395159298592245,0.29507389162561576,0.7788710532244031
58,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.00395159298592245,0.3019704433497537,0.7757504911496351
59,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004075080266732527,0.3019704433497537,0.7757396995612995
60,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004075080266732527,0.3049261083743842,0.7744863453988999
61,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0041985675475426035,0.3049261083743842,0.7744776625136454
62,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0041985675475426035,0.3083743842364532,0.7733051305229232
63,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0043220548283526795,0.3083743842364532,0.772726778711765
64,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0043220548283526795,0.3167487684729064,0.7707736035710555
65,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004445542109162756,0.3167487684729064,0.7707076376098667
66,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004445542109162756,0.3192118226600985,0.769634518121054
67,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004816003951592986,0.3192118226600985,0.7691086704364218
68,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004816003951592986,0.3211822660098522,0.7685277687549539
69,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004939491232403063,0.3211822660098522,0.7683899433899432
70,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.004939491232403063,0.32364532019704434,0.7674356125102868
71,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005062978513213139,0.32364532019704434,0.7674065415031167
72,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005062978513213139,0.3270935960591133,0.7668665285364333
73,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005309953074833292,0.3270935960591133,0.766747990553772
74,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005309953074833292,0.3275862068965517,0.7665763965579377
75,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005433440355643368,0.3275862068965517,0.7664068055814467
76,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005433440355643368,0.3305418719211823,0.7645869399232457
77,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005556927636453445,0.3305418719211823,0.7645293425809894
78,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005556927636453445,0.3374384236453202,0.7621192596261848
79,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005680414917263522,0.3374384236453202,0.7620083554695372
80,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005680414917263522,0.34630541871921183,0.7590880434885502
81,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005927389478883675,0.34630541871921183,0.7588068657894197
82,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.005927389478883675,0.34679802955665023,0.7587938061974684
83,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0061743640405038285,0.34679802955665023,0.7585946852099921
84,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0061743640405038285,0.34926108374384235,0.7578312206740945
85,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0062978513213139044,0.34926108374384235,0.7576164188252564
86,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.0062978513213139044,0.3536945812807882,0.7562545051748181
87,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006421338602123981,0.3536945812807882,0.7556845352671124
88,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006421338602123981,0.3556650246305419,0.7548039410634884
89,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006544825882934058,0.3556650246305419,0.7547964829783012
90,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006544825882934058,0.3566502463054187,0.7543670254474317
91,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006668313163744134,0.3566502463054187,0.7540763286741674
92,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006668313163744134,0.35763546798029555,0.7538241383116732
93,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006791800444554211,0.35763546798029555,0.7535719771539465
94,Decompression,High_Health_Utilizer,Health_Util_Features,Full_dataset,0,0,0.006791800444554211,0.3586206896551724,0.7527811001770658
